MMSI,Nom,MAE_global,R2_global
636021410,STOLT HALCON,0.02724357003877265,0.7480929403535169
538009198,PACIFIC RUBY,0.00010937064465176028,0.9999980385886222
538007356,OWL 2,0.00012393492063183988,0.6687475265553128
538009657,CLIPPER MEDWAY,0.11825501075396459,0.8940496261018369
